inventory_id,product_id,warehouse,stock_quantity,reorder_level,last_updated
I0001,P001,Bengaluru Warehouse,332,22,2026-08-14 18:27:37.532503
I0002,P002,Hyderabad Warehouse,484,77,2026-08-14 18:27:37.533510
I0003,P003,Bengaluru Warehouse,72,71,2026-08-14 18:27:37.534119
I0004,P004,Bengaluru Warehouse,391,43,2026-08-14 18:27:37.534305
I0005,P005,Chennai Warehouse,375,56,2026-08-14 18:27:37.534500
I0006,P006,Hyderabad Warehouse,348,72,2026-08-14 18:27:37.534788
I0007,P007,Chennai Warehouse,414,59,2026-08-14 18:27:37.535027
I0008,P008,Mumbai Warehouse,407,61,2026-08-14 18:27:37.535292
I0009,P009,Delhi Warehouse,198,23,2026-08-14 18:27:37.535460
I0010,P010,Mumbai Warehouse,26,76,2026-08-14 18:27:37.535629
I0011,P011,Hyderabad Warehouse,116,67,2026-08-14 18:27:37.535713
I0012,P012,Mumbai Warehouse,182,99,2026-08-14 18:27:37.535786
I0013,P013,Hyderabad Warehouse,382,52,2026-08-14 18:27:37.535854
I0014,P014,Mumbai Warehouse,81,90,2026-08-14 18:27:37.535921
I0015,P015,Delhi Warehouse,117,72,2026-08-14 18:27:37.535989
I0016,P016,Mumbai Warehouse,125,92,2026-08-14 18:27:37.536061
I0017,P017,Delhi Warehouse,265,31,2026-08-14 18:27:37.536127
I0018,P018,Chennai Warehouse,244,60,2026-08-14 18:27:37.536192
I0019,P019,Delhi Warehouse,166,89,2026-08-14 18:27:37.536296
I0020,P020,Bengaluru Warehouse,354,83,2026-08-14 18:27:37.536361
I0021,P021,Chennai Warehouse,409,71,2026-08-14 18:27:37.536425
I0022,P022,Mumbai Warehouse,222,23,2026-08-14 18:27:37.536485
I0023,P023,Bengaluru Warehouse,357,57,2026-08-14 18:27:37.536553
I0024,P024,Delhi Warehouse,357,33,2026-08-14 18:27:37.536615
I0025,P025,Bengaluru Warehouse,74,71,2026-08-14 18:27:37.536678
I0026,P026,Mumbai Warehouse,216,49,2026-08-14 18:27:37.536742
I0027,P027,Delhi Warehouse,51,30,2026-08-14 18:27:37.536801
I0028,P028,Delhi Warehouse,417,58,2026-08-14 18:27:37.537007
I0029,P029,Chennai Warehouse,27,96,2026-08-14 18:27:37.537119
I0030,P030,Bengaluru Warehouse,481,31,2026-08-14 18:27:37.537235
I0031,P031,Hyderabad Warehouse,231,50,2026-08-14 18:27:37.537316
I0032,P032,Hyderabad Warehouse,31,63,2026-08-14 18:27:37.537506
I0033,P033,Bengaluru Warehouse,201,96,2026-08-14 18:27:37.537564
I0034,P034,Chennai Warehouse,373,70,2026-08-14 18:27:37.537607
I0035,P035,Delhi Warehouse,399,43,2026-08-14 18:27:37.537662
I0036,P036,Delhi Warehouse,92,28,2026-08-14 18:27:37.537704
I0037,P037,Delhi Warehouse,173,59,2026-08-14 18:27:37.537747
I0038,P038,Chennai Warehouse,230,43,2026-08-14 18:27:37.537790
I0039,P039,Mumbai Warehouse,446,73,2026-08-14 18:27:37.537825
I0040,P040,Chennai Warehouse,384,64,2026-08-14 18:27:37.537861
I0041,P041,Chennai Warehouse,483,33,2026-08-14 18:27:37.537896
I0042,P042,Chennai Warehouse,143,26,2026-08-14 18:27:37.537932
I0043,P043,Hyderabad Warehouse,62,37,2026-08-14 18:27:37.537967
I0044,P044,Bengaluru Warehouse,47,78,2026-08-14 18:27:37.538001
I0045,P045,Delhi Warehouse,205,63,2026-08-14 18:27:37.538036
I0046,P046,Mumbai Warehouse,224,79,2026-08-14 18:27:37.538071
I0047,P047,Delhi Warehouse,317,27,2026-08-14 18:27:37.538101
I0048,P048,Delhi Warehouse,217,60,2026-08-14 18:27:37.538133
I0049,P049,Hyderabad Warehouse,233,88,2026-08-14 18:27:37.538207
I0050,P050,Delhi Warehouse,151,45,2026-08-14 18:27:37.538257
