order_id,order_datetime,customer_id,product_id,quantity,selling_price,discount_percent,gross_amount,discount_amount,net_amount,product_cost,shipping_cost,payment_fee,profit,order_status,profit_margin,profit_status,discount_category
O00001,2026-08-01 02:58:13,C0089,P045,4,62341.11,5,249364.44,12468.22,236896.22,185721.04,368.68,4651.06,46155.44,Completed,19.48,Profit,Low Discount
O00002,2026-06-16 05:22:52,C0039,P027,2,10161.47,20,20322.94,4064.59,16258.35,14831.52,100.04,322.77,1004.02,Completed,6.18,Profit,High Discount
O00003,2026-06-28 03:19:53,C0092,P020,4,57264.84,15,229059.36,34358.9,194700.46,176749.44,420.26,4844.97,12685.79,Completed,6.52,Profit,Medium Discount
O00004,2026-07-14 15:01:44,C0092,P049,1,24913.36,20,24913.36,4982.67,19930.69,16263.03,150.62,583.26,2933.78,Completed,14.72,Profit,High Discount
O00005,2026-07-05 10:09:43,C0032,P045,5,62341.11,5,311705.55,15585.28,296120.27,232151.3,69.53,8437.32,55462.12,Cancelled,18.73,Profit,Low Discount
O00006,2026-05-27 23:56:03,C0036,P035,3,54528.17,25,163584.51,40896.13,122688.38,132465.87,285.39,2771.28,-12834.16,Completed,-10.46,Loss,High Discount
O00007,2026-06-23 04:01:49,C0031,P001,5,27812.76,15,139063.8,20859.57,118204.23,108554.3,222.89,2924.61,6502.43,Cancelled,5.5,Profit,Medium Discount
O00008,2026-08-12 02:27:28,C0074,P032,4,39676.81,0,158707.24,0.0,158707.24,103936.08,201.05,2125.66,52444.45,Completed,33.04,Profit,No Discount
O00009,2026-07-11 18:00:27,C0008,P050,4,35590.05,0,142360.2,0.0,142360.2,110921.72,488.48,4231.55,26718.45,Completed,18.77,Profit,No Discount
O00010,2026-06-04 05:22:32,C0017,P009,1,19784.64,10,19784.64,1978.46,17806.18,14190.54,321.25,274.56,3019.83,Completed,16.96,Profit,Medium Discount
O00011,2026-06-10 12:00:23,C0035,P006,2,14835.37,10,29670.74,2967.07,26703.67,21110.98,311.52,757.94,4523.23,Completed,16.94,Profit,Medium Discount
