return_id,order_id,product_id,return_reason,refund_amount,return_date
R0001,O00006,P035,Changed Mind,122688.38,2026-06-01 23:56:03
R0002,O00025,P016,Damaged,19463.28,2026-06-17 21:35:06
R0003,O00026,P032,Wrong Product,107127.39,2026-07-06 03:09:27
R0004,O00030,P015,Late Delivery,90030.69,2026-08-19 04:00:41
R0005,O00036,P034,Late Delivery,110192.29,2026-06-07 20:51:28
R0006,O00039,P028,Wrong Size,56227.08,2026-06-23 22:15:41
R0007,O00048,P019,Wrong Product,156705.25,2026-07-17 14:20:04
R0008,O00061,P023,Wrong Size,16297.37,2026-07-01 04:41:01
R0009,O00070,P004,Damaged,1185.39,2026-07-24 01:55:20
R0010,O00078,P044,Late Delivery,34057.18,2026-06-12 12:25:13
R0011,O00081,P023,Damaged,85775.65,2026-08-16 19:59:51
R0012,O00082,P034,Damaged,34797.56,2026-08-31 06:21:48
R0013,O00086,P021,Wrong Product,164498.69,2026-07-23 17:41:36
R0014,O00088,P045,Wrong Size,177672.16,2026-06-24 07:43:48
R0015,O00094,P016,Quality Issue,6487.76,2026-06-05 20:04:04
R0016,O00106,P020,Quality Issue,257691.78,2026-06-14 12:59:04
R0017,O00108,P023,Late Delivery,15439.62,2026-07-19 02:49:53
R0018,O00111,P029,Damaged,44167.07,2026-05-27 20:09:43
R0019,O00114,P017,Quality Issue,76043.59,2026-08-26 19:18:31
R0020,O00120,P040,Changed Mind,54919.13,2026-06-30 01:11:40
R0021,O00122,P029,Changed Mind,176668.28,2026-06-29 13:43:07
R0022,O00123,P022,Quality Issue,678.32,2026-06-21 10:59:05
R0023,O00125,P011,Quality Issue,50954.2,2026-07-25 11:11:09
R0024,O00138,P028,Changed Mind,89026.21,2026-08-19 20:10:18
R0025,O00139,P033,Damaged,37756.7,2026-07-29 08:03:07
R0026,O00140,P038,Quality Issue,12936.61,2026-07-09 01:23:20
R0027,O00146,P045,Wrong Size,264949.72,2026-08-18 03:13:37
R0028,O00148,P029,Wrong Product,37542.01,2026-07-15 02:05:35
R0029,O00162,P034,Wrong Size,34797.56,2026-08-01 14:29:23
R0030,O00163,P023,Changed Mind,61758.47,2026-08-25 09:01:04
R0031,O00170,P004,Quality Issue,2246.0,2026-08-14 21:06:24
R0032,O00183,P042,Wrong Size,182946.12,2026-08-06 06:34:26
R0033,O00205,P018,Quality Issue,18592.45,2026-06-08 14:31:20
R0034,O00210,P023,Late Delivery,48892.12,2026-07-04 08:14:08
R0035,O00224,P023,Wrong Size,85775.65,2026-06-06 15:58:22
R0036,O00228,P009,Quality Issue,33633.89,2026-07-28 15:54:57
R0037,O00238,P003,Late Delivery,30751.08,2026-08-18 21:50:57
R0038,O00243,P031,Late Delivery,37202.02,2026-07-23 19:02:26
R0039,O00255,P006,Quality Issue,29670.74,2026-06-21 09:41:55
R0040,O00258,P035,Quality Issue,185395.78,2026-08-13 06:16:00
R0041,O00261,P011,Wrong Product,214544.0,2026-06-12 19:02:32
R0042,O00262,P037,Damaged,8052.02,2026-08-12 08:58:49
R0043,O00269,P007,Damaged,317601.55,2026-08-31 19:45:27
R0044,O00280,P035,Wrong Size,259008.81,2026-07-09 14:17:44
R0045,O00285,P016,Late Delivery,12326.74,2026-07-01 13:14:50
R0046,O00293,P047,Wrong Product,99622.92,2026-06-19 18:50:42
R0047,O00299,P047,Quality Issue,79698.34,2026-06-08 17:18:56
R0048,O00301,P028,Wrong Size,89026.21,2026-05-23 15:37:35
R0049,O00318,P038,Late Delivery,28917.13,2026-07-30 02:16:38
R0050,O00319,P038,Late Delivery,13697.59,2026-06-18 13:32:12
R0051,O00320,P015,Late Delivery,47663.31,2026-06-13 22:18:37
R0052,O00324,P005,Changed Mind,97925.88,2026-05-31 21:00:25
R0053,O00325,P005,Changed Mind,155529.34,2026-07-17 12:36:16
R0054,O00326,P027,Damaged,19306.79,2026-06-12 22:21:16
R0055,O00344,P035,Quality Issue,155405.28,2026-05-30 06:17:43
R0056,O00347,P014,Wrong Product,32597.71,2026-07-31 12:47:37
R0057,O00353,P023,Changed Mind,30879.23,2026-06-06 03:32:41
R0058,O00356,P034,Late Delivery,110192.29,2026-08-14 09:49:56
R0059,O00358,P006,Quality Issue,59341.48,2026-06-18 08:20:25
R0060,O00363,P021,Damaged,196244.06,2026-08-18 07:47:13
R0061,O00374,P047,Wrong Product,24905.73,2026-07-12 08:39:12
R0062,O00376,P007,Wrong Size,215969.05,2026-07-09 17:57:10
R0063,O00380,P026,Quality Issue,12688.99,2026-06-22 21:35:11
R0064,O00403,P041,Quality Issue,91741.92,2026-09-02 01:19:29
R0065,O00416,P017,Late Delivery,71818.95,2026-08-12 10:12:13
R0066,O00420,P024,Wrong Product,11713.9,2026-07-18 12:54:18
R0067,O00429,P008,Wrong Product,39114.65,2026-05-30 13:20:10
R0068,O00436,P025,Late Delivery,21801.37,2026-07-02 05:15:44
R0069,O00443,P043,Damaged,32065.42,2026-08-04 20:20:12
R0070,O00454,P024,Changed Mind,3687.71,2026-07-06 04:55:45
